x,y,z
-2.50705e+08,-1.30469e+06,1.21255e+08
-2.52687e+08,-1.27817e+06,1.19711e+08
-2.54643e+08,-1.25124e+06,1.18137e+08
-2.56573e+08,-1.22393e+06,1.16533e+08
-2.58476e+08,-1.19624e+06,1.14899e+08
-2.60353e+08,-1.16818e+06,1.13236e+08
-2.62202e+08,-1.13975e+06,1.11545e+08
-2.64023e+08,-1.11099e+06,1.09825e+08
-2.65816e+08,-1.08188e+06,1.08078e+08
-2.67581e+08,-1.05245e+06,1.06303e+08
-2.69316e+08,-1.02271e+06,1.04501e+08
-2.71022e+08,-992659,1.02673e+08
-2.72699e+08,-962316,1.0082e+08
-2.74345e+08,-931690,9.89408e+07
-2.75961e+08,-900792,9.70371e+07
-2.77546e+08,-869631,9.51091e+07
-2.791e+08,-838218,9.31573e+07
-2.80623e+08,-806564,9.11823e+07
-2.82114e+08,-774678,8.91845e+07
-2.83572e+08,-742570,8.71645e+07
-2.84999e+08,-710251,8.51229e+07
-2.86392e+08,-677731,8.30601e+07
-2.87753e+08,-645018,8.09767e+07
-2.89081e+08,-612125,7.88732e+07
-2.90375e+08,-579059,7.67502e+07
-2.91635e+08,-545830,7.46082e+07
-2.92861e+08,-512449,7.24477e+07
-2.94053e+08,-478925,7.02693e+07
-2.9521e+08,-445266,6.80736e+07
-2.96333e+08,-411484,6.58611e+07
-2.97421e+08,-377586,6.36324e+07
-2.98474e+08,-343581,6.13879e+07
-2.99491e+08,-309481,5.91284e+07
-3.00473e+08,-275292,5.68543e+07
-3.0142e+08,-241025,5.45662e+07
-3.0233e+08,-206688,5.22646e+07
-3.03204e+08,-172290,4.99502e+07
-3.04043e+08,-137841,4.76234e+07
-3.04845e+08,-103348,4.5285e+07
-3.0561e+08,-68820.8,4.29353e+07
-3.06339e+08,-34267.9,4.05751e+07
-3.07031e+08,302.211,3.82048e+07
-3.07687e+08,34880.9,3.5825e+07
-3.08306e+08,69459.7,3.34364e+07
-3.08887e+08,104030,3.10394e+07
-3.09432e+08,138584,2.86347e+07
-3.0994e+08,173113,2.62228e+07
-3.1041e+08,207608,2.38043e+07
-3.10843e+08,242062,2.13797e+07
-3.11239e+08,276467,1.89497e+07
-3.11598e+08,310813,1.65148e+07
-3.11919e+08,345094,1.40755e+07
-3.12203e+08,379302,1.16325e+07
-3.12449e+08,413427,9.18623e+06
-3.12658e+08,447464,6.73735e+06
-3.1283e+08,481403,4.28641e+06
-3.12965e+08,515237,1.83396e+06
-3.13062e+08,548958,-619438
-3.13121e+08,582559,-3.07322e+06
-3.13144e+08,616032,-5.52682e+06
-3.13129e+08,649370,-7.9797e+06
-3.13077e+08,682565,-1.04313e+07
-3.12988e+08,715610,-1.2881e+07
-3.12862e+08,748497,-1.53284e+07
-3.12699e+08,781219,-1.77728e+07
-3.12499e+08,813770,-2.02137e+07
-3.12263e+08,846142,-2.26506e+07
-3.11989e+08,878327,-2.50829e+07
-3.11679e+08,910319,-2.75101e+07
-3.11333e+08,942112,-2.99316e+07
-3.1095e+08,973697,-3.23469e+07
-3.10532e+08,1.00507e+06,-3.47555e+07
-3.10077e+08,1.03622e+06,-3.71569e+07
-3.09586e+08,1.06714e+06,-3.95505e+07
-3.09059e+08,1.09783e+06,-4.19358e+07
-3.08497e+08,1.12828e+06,-4.43122e+07
-3.079e+08,1.15849e+06,-4.66793e+07
-3.07267e+08,1.18844e+06,-4.90366e+07
-3.06599e+08,1.21813e+06,-5.13835e+07
-3.05896e+08,1.24756e+06,-5.37195e+07
-3.05158e+08,1.27671e+06,-5.60442e+07
-3.04386e+08,1.30559e+06,-5.8357e+07
-3.0358e+08,1.33418e+06,-6.06574e+07
-3.0274e+08,1.36248e+06,-6.2945e+07
-3.01866e+08,1.39049e+06,-6.52192e+07
-3.00958e+08,1.41819e+06,-6.74796e+07
-3.00017e+08,1.44559e+06,-6.97256e+07
-2.99043e+08,1.47268e+06,-7.19569e+07
-2.98036e+08,1.49944e+06,-7.4173e+07
-2.96996e+08,1.52589e+06,-7.63733e+07
-2.95924e+08,1.552e+06,-7.85574e+07
-2.9482e+08,1.57778e+06,-8.07249e+07
-2.93684e+08,1.60323e+06,-8.28753e+07
-2.92516e+08,1.62832e+06,-8.50082e+07
-2.91318e+08,1.65307e+06,-8.71231e+07
-2.90088e+08,1.67746e+06,-8.92195e+07
-2.88828e+08,1.70149e+06,-9.12971e+07
-2.87537e+08,1.72516e+06,-9.33554e+07
-2.86216e+08,1.74846e+06,-9.53939e+07
-2.84866e+08,1.77138e+06,-9.74124e+07
-2.83486e+08,1.79393e+06,-9.94102e+07
-2.82077e+08,1.8161e+06,-1.01387e+08
-2.80639e+08,1.83787e+06,-1.03343e+08
-2.79173e+08,1.85926e+06,-1.05277e+08
-2.77679e+08,1.88025e+06,-1.07188e+08
-2.76157e+08,1.90084e+06,-1.09077e+08
-2.74608e+08,1.92103e+06,-1.10943e+08
-2.73032e+08,1.94081e+06,-1.12786e+08
-2.71429e+08,1.96018e+06,-1.14605e+08
-2.69799e+08,1.97913e+06,-1.16401e+08
-2.68144e+08,1.99766e+06,-1.18171e+08
-2.66463e+08,2.01578e+06,-1.19917e+08
-2.64758e+08,2.03346e+06,-1.21638e+08
-2.63027e+08,2.05072e+06,-1.23334e+08
-2.61272e+08,2.06755e+06,-1.25003e+08
-2.59493e+08,2.08394e+06,-1.26647e+08
-2.5769e+08,2.09989e+06,-1.28264e+08
-2.55864e+08,2.1154e+06,-1.29854e+08
-2.54015e+08,2.13046e+06,-1.31417e+08
-2.52144e+08,2.14508e+06,-1.32953e+08
-2.50251e+08,2.15925e+06,-1.34461e+08
-2.48336e+08,2.17297e+06,-1.35942e+08
-2.464e+08,2.18623e+06,-1.37394e+08
-2.44444e+08,2.19903e+06,-1.38817e+08
-2.42467e+08,2.21138e+06,-1.40211e+08
-2.4047e+08,2.22326e+06,-1.41577e+08
-2.38454e+08,2.23468e+06,-1.42913e+08
-2.36418e+08,2.24563e+06,-1.44219e+08
-2.34365e+08,2.25611e+06,-1.45496e+08
-2.32293e+08,2.26613e+06,-1.46742e+08
-2.30203e+08,2.27567e+06,-1.47958e+08
-2.28096e+08,2.28474e+06,-1.49144e+08
-2.25973e+08,2.29334e+06,-1.50299e+08
-2.23833e+08,2.30145e+06,-1.51422e+08
-2.21677e+08,2.30909e+06,-1.52515e+08
-2.19506e+08,2.31626e+06,-1.53576e+08
-2.1732e+08,2.32294e+06,-1.54605e+08
-2.15119e+08,2.32914e+06,-1.55602e+08
-2.12904e+08,2.33486e+06,-1.56568e+08
-2.10676e+08,2.3401e+06,-1.57501e+08
-2.08435e+08,2.34485e+06,-1.58402e+08
-2.06181e+08,2.34912e+06,-1.5927e+08
-2.03915e+08,2.3529e+06,-1.60106e+08
-2.01637e+08,2.3562e+06,-1.60908e+08
-1.99348e+08,2.35902e+06,-1.61678e+08
-1.97048e+08,2.36134e+06,-1.62415e+08
-1.94738e+08,2.36319e+06,-1.63118e+08
-1.92419e+08,2.36454e+06,-1.63788e+08
-1.9009e+08,2.36541e+06,-1.64424e+08
-1.87752e+08,2.36579e+06,-1.65027e+08
-1.85406e+08,2.36569e+06,-1.65596e+08
-1.83052e+08,2.3651e+06,-1.66131e+08
-1.80691e+08,2.36403e+06,-1.66633e+08
-1.78323e+08,2.36247e+06,-1.671e+08
-1.75949e+08,2.36043e+06,-1.67533e+08
-1.73569e+08,2.35791e+06,-1.67932e+08
-1.71183e+08,2.3549e+06,-1.68297e+08
-1.68793e+08,2.35141e+06,-1.68628e+08
-1.66398e+08,2.34744e+06,-1.68924e+08
-1.63999e+08,2.34299e+06,-1.69186e+08
-1.61597e+08,2.33807e+06,-1.69413e+08
-1.59192e+08,2.33266e+06,-1.69606e+08
-1.56784e+08,2.32678e+06,-1.69765e+08
-1.54375e+08,2.32043e+06,-1.69889e+08
-1.51964e+08,2.3136e+06,-1.69979e+08
-1.49552e+08,2.3063e+06,-1.70034e+08
-1.4714e+08,2.29853e+06,-1.70055e+08
-1.44727e+08,2.2903e+06,-1.70041e+08
-1.42315e+08,2.2816e+06,-1.69993e+08
-1.39905e+08,2.27243e+06,-1.6991e+08
-1.37495e+08,2.2628e+06,-1.69793e+08
-1.35088e+08,2.25272e+06,-1.69642e+08
-1.32683e+08,2.24217e+06,-1.69457e+08
-1.30281e+08,2.23117e+06,-1.69237e+08
-1.27882e+08,2.21972e+06,-1.68983e+08
-1.25487e+08,2.20782e+06,-1.68695e+08
-1.23097e+08,2.19547e+06,-1.68373e+08
-1.20711e+08,2.18268e+06,-1.68016e+08
-1.18331e+08,2.16944e+06,-1.67627e+08
-1.15957e+08,2.15577e+06,-1.67203e+08
-1.13589e+08,2.14166e+06,-1.66745e+08
