x,y,z
-1.49598e+08,0.462535,1148.83
-1.49598e+08,0.468438,1163.48
-1.49598e+08,0.474357,1178.16
-1.49598e+08,0.480292,1192.89
-1.49598e+08,0.486242,1207.64
-1.49598e+08,0.492206,1222.44
-1.49598e+08,0.498183,1237.26
-1.49598e+08,0.504174,1252.12
-1.49598e+08,0.510177,1267
-1.49598e+08,0.516192,1281.91
-1.49598e+08,0.522218,1296.85
-1.49598e+08,0.528254,1311.81
-1.49598e+08,0.534301,1326.79
-1.49598e+08,0.540357,1341.8
-1.49598e+08,0.546421,1356.82
-1.49598e+08,0.552494,1371.87
-1.49598e+08,0.558574,1386.93
-1.49598e+08,0.564661,1402
-1.49598e+08,0.570754,1417.09
-1.49598e+08,0.576853,1432.19
-1.49598e+08,0.582957,1447.3
-1.49598e+08,0.589065,1462.41
-1.49598e+08,0.595178,1477.54
-1.49598e+08,0.601293,1492.67
-1.49598e+08,0.607412,1507.8
-1.49598e+08,0.613532,1522.94
-1.49598e+08,0.619654,1538.08
-1.49598e+08,0.625776,1553.21
-1.49598e+08,0.6319,1568.35
-1.49598e+08,0.638022,1583.48
-1.49598e+08,0.644145,1598.61
-1.49598e+08,0.650265,1613.72
-1.49598e+08,0.656384,1628.84
-1.49598e+08,0.6625,1643.94
-1.49598e+08,0.668613,1659.03
-1.49598e+08,0.674723,1674.11
-1.49598e+08,0.680828,1689.17
-1.49598e+08,0.686929,1704.22
-1.49598e+08,0.693024,1719.25
-1.49598e+08,0.699114,1734.27
-1.49598e+08,0.705197,1749.26
-1.49598e+08,0.711273,1764.23
-1.49598e+08,0.717342,1779.19
-1.49598e+08,0.723403,1794.11
-1.49598e+08,0.729455,1809.02
-1.49598e+08,0.735498,1823.89
-1.49598e+08,0.741532,1838.74
-1.49598e+08,0.747556,1853.56
-1.49598e+08,0.753569,1868.35
-1.49598e+08,0.759571,1883.11
-1.49598e+08,0.765562,1897.83
-1.49598e+08,0.77154,1912.52
-1.49598e+08,0.777506,1927.17
-1.49598e+08,0.783459,1941.79
-1.49598e+08,0.789399,1956.37
-1.49598e+08,0.795325,1970.91
-1.49598e+08,0.801236,1985.41
-1.49598e+08,0.807132,1999.87
-1.49598e+08,0.813013,2014.28
-1.49598e+08,0.818878,2028.65
-1.49598e+08,0.824726,2042.98
-1.49598e+08,0.830558,2057.26
-1.49598e+08,0.836373,2071.49
-1.49598e+08,0.84217,2085.67
-1.49598e+08,0.847949,2099.8
-1.49598e+08,0.85371,2113.89
-1.49598e+08,0.859451,2127.91
-1.49598e+08,0.865174,2141.89
-1.49598e+08,0.870876,2155.81
-1.49598e+08,0.876559,2169.68
-1.49598e+08,0.88222,2183.49
-1.49598e+08,0.887861,2197.24
-1.49598e+08,0.893481,2210.94
-1.49598e+08,0.899078,2224.57
-1.49598e+08,0.904654,2238.15
-1.49598e+08,0.910207,2251.66
-1.49598e+08,0.915737,2265.11
-1.49598e+08,0.921243,2278.5
-1.49598e+08,0.926726,2291.82
-1.49598e+08,0.932185,2305.08
-1.49598e+08,0.93762,2318.27
-1.49598e+08,0.94303,2331.4
-1.49598e+08,0.948415,2344.46
-1.49598e+08,0.953774,2357.45
-1.49598e+08,0.959108,2370.37
-1.49598e+08,0.964415,2383.21
-1.49598e+08,0.969696,2395.99
-1.49598e+08,0.974951,2408.7
-1.49598e+08,0.980178,2421.33
-1.49598e+08,0.985378,2433.89
-1.49598e+08,0.99055,2446.38
-1.49598e+08,0.995694,2458.79
-1.49598e+08,1.00081,2471.12
-1.49598e+08,1.0059,2483.38
-1.49598e+08,1.01096,2495.56
-1.49598e+08,1.01598,2507.66
-1.49598e+08,1.02098,2519.69
-1.49598e+08,1.02595,2531.63
-1.49598e+08,1.03089,2543.5
